2018-08-02 11:37:23.342 ERROR: 登录失败
2018-08-02 11:37:34.418 INFO: ===============================================
2018-08-02 11:37:47.908 INFO: 进入出租车计费设置
2018-08-02 11:37:48.040 INFO: 进入即时用车设置
2018-08-02 11:37:58.306 INFO: 设置编辑成功
2018-08-02 11:37:58.423 INFO: 进入预约用车设置
2018-08-02 11:38:08.540 INFO: 设置编辑成功
2018-08-02 11:38:10.541 INFO: ===============================================
2018-08-02 11:38:23.876 INFO: 进入快车计费设置
2018-08-02 11:38:24.065 INFO: 进入即时用车设置
2018-08-02 11:38:34.463 INFO: 设置编辑成功
2018-08-02 11:38:34.595 INFO: 进入预约用车设置
2018-08-02 11:38:45.050 INFO: 设置编辑成功
2018-08-02 11:38:47.051 INFO: ===============================================
2018-08-02 11:39:00.944 INFO: 进入专车计费设置
2018-08-02 11:39:01.111 INFO: 进入即时用车设置
2018-08-02 11:39:13.469 INFO: 设置编辑成功
2018-08-02 11:39:13.596 INFO: 进入预约用车设置
2018-08-02 11:39:23.865 INFO: 设置编辑成功
2018-08-02 11:39:23.990 INFO: 进入日租设置
2018-08-02 11:39:34.178 INFO: 设置编辑成功
2018-08-02 11:39:34.301 INFO: 进入半日租设置
2018-08-02 11:39:44.591 INFO: 设置编辑成功
