2018-08-02 11:45:11.239 ERROR: 登录失败
2018-08-02 11:45:22.432 INFO: ===============================================
2018-08-02 11:45:29.669 INFO: 进入业务范围的新增
2018-08-02 11:45:38.687 INFO: 该组织机构的这项业务已经存在
2018-08-02 11:45:53.525 INFO: 快车业务下的厦门市城市已经开通了
2018-08-02 11:45:58.884 INFO: ===============================================
2018-08-02 11:46:13.173 INFO: 进入出租车计费设置
2018-08-02 11:46:13.305 INFO: 进入即时用车设置
2018-08-02 11:46:23.656 INFO: 设置编辑成功
2018-08-02 11:46:23.809 INFO: 进入预约用车设置
2018-08-02 11:46:34.028 INFO: 设置编辑成功
2018-08-02 11:46:36.028 INFO: ===============================================
2018-08-02 11:46:49.786 INFO: 进入快车计费设置
2018-08-02 11:46:50.000 INFO: 进入即时用车设置
2018-08-02 11:47:00.187 INFO: 设置编辑成功
2018-08-02 11:47:00.306 INFO: 进入预约用车设置
2018-08-02 11:47:10.598 INFO: 设置编辑成功
2018-08-02 11:47:12.599 INFO: ===============================================
2018-08-02 11:47:27.139 INFO: 进入专车计费设置
2018-08-02 11:47:27.322 INFO: 进入即时用车设置
2018-08-02 11:47:37.693 INFO: 设置编辑成功
2018-08-02 11:47:37.818 INFO: 进入预约用车设置
2018-08-02 11:47:48.590 INFO: 设置编辑成功
2018-08-02 11:47:48.709 INFO: 进入日租设置
2018-08-02 11:47:59.153 INFO: 设置编辑成功
2018-08-02 11:47:59.289 INFO: 进入半日租设置
2018-08-02 11:48:09.692 INFO: 设置编辑成功
