2018-08-02 10:22:06.300 ERROR: 登录失败
2018-08-02 10:22:17.875 INFO: ===============================================
2018-08-02 10:22:42.672 INFO: 基本信息保存成功
2018-08-02 10:22:58.963 INFO: 投资人信息保存成功
2018-08-02 10:23:15.607 INFO: 支付信息保存成功
2018-08-02 10:23:35.839 INFO: 服务机构信息保存成功
2018-08-02 10:23:55.278 INFO: 经营许可信息保存成功
2018-08-02 10:23:58.475 INFO: ===============================================
2018-08-02 10:24:12.695 INFO: 操作失败
2018-08-02 10:24:19.445 WARNING: 没有找到该元素或者该元素不能被点击
2018-08-02 10:24:19.445 INFO: ===============================================
2018-08-02 10:24:22.535 WARNING: 没有找到该元素或者该元素不能被点击
2018-08-02 10:24:25.575 WARNING: 没有找到元素：company_add
2018-08-02 10:24:25.602 WARNING: 没有找到该元素或者该元素不能被点击
2018-08-02 10:24:31.970 WARNING: 没有找到该元素或者该元素不能被点击
2018-08-02 10:24:31.970 INFO: ===============================================
2018-08-02 10:24:35.068 WARNING: 没有找到该元素或者该元素不能被点击
2018-08-02 10:24:35.132 WARNING: 没有找到元素：出租车
2018-08-02 10:24:35.156 WARNING: 没有找到该元素或者该元素不能被点击
2018-08-02 10:24:41.626 WARNING: 没有找到该元素或者该元素不能被点击
2018-08-02 10:24:41.626 INFO: ===============================================
